variable,mean,std,min,max,median,kurtosis,skewness
50q,2.6762157e-06,2.0288516e-07,1.6278973e-06,7.9163765e-06,2.6971193e-06,0.5083349,-0.47546613216400146
50t,210.5182,4.4760647,191.36075,246.59285,210.04187,0.18404579,0.42098841071128845
50u,-2.8802185,12.488623,-45.590607,67.34578,-3.7689514,0.12145734,0.4851520359516144
50v,0.20843004,3.3422804,-48.066803,43.396225,0.043640137,3.4324918,0.5183303356170654
50w,0.00021673687,0.014359928,-0.96983594,0.8298283,0.0003414154,14.058025,0.08411306142807007
50z,202594.47,1755.0476,190164.75,207570.5,202558.56,1.6405773,-0.4695283770561218
600cc,0.05905429,0.16490783,0.0,1.0,0.0,15.858559,3.9503509998321533
600pv,3.255076e-07,3.2862454e-07,-7.3542005e-06,2.9123283e-05,2.5483314e-07,27.52093,2.7576584815979004
600q,0.00363567,0.0023223043,9.999994e-09,0.014554126,0.0038503,-1.2621162,-0.031220167875289917
600t,272.34955,7.195919,226.14786,291.19092,275.19583,4.420978,-2.102287530899048
600u,4.182964,9.342611,-63.261917,65.79558,3.0801544,0.3989706,0.5983292460441589
600v,0.36352974,5.7031918,-58.695694,71.12715,0.3356781,2.912417,0.04653899371623993
600w,-0.013088505,0.28606927,-28.140228,15.599885,0.013595581,97.63275,-4.847573757171631
600z,42727.766,963.8589,34855.15,44506.22,43080.766,6.2729683,-2.316803216934204
700cc,0.049501587,0.1489304,0.0,1.0,0.0,21.522972,4.530501842498779
700pv,3.0630756e-07,6.1307503e-07,-3.846144e-05,0.00014114991,2.2747554e-07,3557.8074,43.94129180908203
700q,0.0054650605,0.0030207646,9.999997e-09,0.019945597,0.0061638462,-1.0692474,-0.2969949245452881
700t,279.3025,7.415145,229.71669,298.156,282.458,4.420256,-2.1182327270507812
700u,3.001498,7.704945,-72.48384,65.56802,2.4526367,0.30523658,0.3528810739517212
700v,0.35778838,5.2623034,-56.692764,70.87785,0.31809998,2.9606342,0.17654788494110107
700w,-0.010808362,0.2856053,-24.55368,17.701332,0.010245323,73.78327,-3.636293649673462
700z,30488.701,667.6047,23421.246,32077.766,30695.816,6.7081003,-2.256654739379883
850cc,0.06840226,0.17161575,0.0,1.0,0.0078125,14.977692,3.8326494693756104
850pv,3.3394267e-07,1.1975964e-06,-3.845997e-05,0.00017096945,1.8185528e-07,875.40173,21.972990036010742
850q,0.009277036,0.0042009233,9.999994e-09,0.023681939,0.010886574,-0.7642522,-0.6845989227294922
850t,287.3563,8.051592,231.53937,314.23535,290.83936,4.1027646,-2.0182149410247803
850u,0.9545604,6.557328,-67.27162,64.83162,0.5949249,0.73517895,0.19897955656051636
850v,0.38346526,5.099137,-68.002075,72.71211,0.34136963,3.417673,0.2852184772491455
850w,-0.005345804,0.26092142,-16.468506,11.459849,0.0060071945,42.483746,-1.6541577577590942
850z,14626.437,426.44577,7864.875,16988.844,14689.27,4.6302857,-1.3365633487701416
925cc,0.07502455,0.16040315,0.0,1.0,0.0078125,14.946411,3.6706182956695557
925pv,4.3882207e-07,1.8323757e-06,-3.845997e-05,0.00017096945,1.4812395e-07,215.54153,10.575645446777344
925q,0.011593101,0.0049456195,3.838437e-07,0.025475444,0.013681211,-0.67727566,-0.7960808873176575
925t,291.01028,8.065165,235.88232,319.5044,294.39648,4.127659,-1.9636509418487549
925u,-0.021000586,6.057335,-64.8607,64.25777,-0.12886047,1.2784166,0.12017912417650223
925v,0.27324185,5.2423863,-64.86105,67.67934,0.246521,3.31912,0.18728867173194885
925w,-0.00038909758,0.2060462,-12.831014,7.751752,0.006731987,24.789255,-0.7589133381843567
925z,7570.1313,444.4637,528.1218,10532.961,7567.129,2.6593843,-0.25685739517211914
