feature_idx,variable,mean,std
0,1000pv,0.004506438005047479,1.0969405926748523
1,1000q,-0.0005088789754829258,0.14641203991883142
2,1000t,-0.002133195248293346,0.23119407705716719
3,1000u,-0.0007793490333786334,0.43900520347797584
4,1000v,-0.00047681492681331787,0.5102465521013513
5,1000z,0.002012204841825786,0.3184184083512202
6,100pv,-6.922483423495171e-05,0.38489260561014055
7,100q,-0.0006294847305485006,0.3727483440195023
8,100t,-5.524107850017447e-05,0.1519137366025402
9,100u,0.0007927491777802049,0.17343654959083304
10,100v,0.0006591511043710379,0.5368672115603033
11,100z,-0.001032134440151348,0.08156193934152806
12,150cc,-0.0006357217487239862,0.7782430583617339
13,150pv,0.00012648979420326153,0.28147716699681957
14,150q,-0.0007027532883060486,0.5346048865360383
15,150t,-1.0351072871911874e-05,0.18489358194191066
16,150u,0.0006198380416770736,0.16498917066823462
17,150v,0.0004104790138845779,0.419922949735693
18,150w,0.000271514258333105,1.2485675093619792
19,150z,-0.0008196848208715749,0.06718584376348702
20,200cc,-0.0006440941433256464,0.8648722132721506
21,200pv,0.00023032061086092272,0.35124132199623054
22,200q,-0.0009544984354846767,0.5671644951940211
23,200t,-0.0007094268125737048,0.3727363882983198
24,200u,0.0005587264518498844,0.18045883786328093
25,200v,6.220740304330515e-05,0.45096209718432684
26,200w,0.0003328833929272767,1.2127124494619295
27,200z,-0.0007517460392440684,0.06860603190064402
28,250cc,-0.0006823098916056854,0.9795812612846613
29,250pv,0.0003658252600935404,0.5233767125485338
30,250q,-0.0009557002848692295,0.5841118312025894
31,250t,-0.0008713798603830004,0.20256015426350515
32,250u,0.0005515524792888013,0.20791701660805068
33,250v,-0.00017576314541121432,0.5193127767434899
34,250w,0.00035383843022822363,1.1831090955887469
35,250z,-0.0007158096681424292,0.07693787256257134
36,300cc,-0.0005543017363312738,1.0106321656743487
37,300pv,0.0002068386005194701,0.6902668000178607
38,300q,-0.0009714054378021957,0.5261728383495817
39,300t,-0.0008836795142338326,0.1456945302233756
40,300u,0.00053132241937018,0.2255951886922186
41,300v,-0.0002053714504538581,0.5591388252749399
42,300w,0.0003368849528176364,1.1867284117924783
43,300z,-0.0006878414903682446,0.08677720232326241
44,400cc,-0.00042176646948423227,1.0429405059678583
45,400pv,-9.47709149204945e-05,0.9260824599771027
46,400q,-0.0009236620949231286,0.46842642290723807
47,400t,-0.0008956388539632659,0.1293981224118052
48,400u,0.00041327860035859926,0.24818532306443505
49,400v,-0.00019913025703222442,0.5814657650100121
50,400w,0.0002664191712304885,1.212157345933641
51,400z,-0.0006021001677528258,0.10287715706044138
52,500cc,-0.0004534061498357005,1.02293429058193
53,500pv,-0.0002924747601638476,0.9190521001140339
54,500q,-0.0008989933429126052,0.42005466382842516
55,500t,-0.0008813795803711486,0.1311742024874998
56,500u,0.00027628769506261245,0.2748555545732051
57,500v,-0.0001545125901141418,0.5779821037260414
58,500w,0.00023405839544819867,1.2210000729877846
59,500z,-0.00047690805300068507,0.12439714689505164
60,50pv,-0.0002298258969804124,0.26618183780451565
61,50q,0.000963227857562194,0.10198571249205736
62,50t,-0.00033135849071272433,0.36189019182619103
63,50u,0.0013563076192180503,0.22945754584340317
64,50v,-0.0014911264194090274,0.9554435936265038
65,50z,-0.0014028209918227092,0.1084201261466261
66,600cc,-0.00019394289533429654,1.0263332188858112
