feature,weight,mean,std,diff_std,ratio
925z,9.889744,7570.1313,444.4637,0.352456721,2.837227778
blh,0.2138323,597.7674,421.7917,1.128729722,0.885951686
d2m,0.2138323,290.16684,10.728539,0.135277667,7.392203203
flsr,0.2138323,-8.318312,3.212783,0.105217593,9.504113976
msl,0.2138323,101177.11,720.53314,0.285471849,3.502972367
sst,1.0691615,299.13043,5.5880733,0.016092378,62.14121897
swh,0.2138323,1.537192,0.9213244,0.200963526,4.976027332
t2m,1.0691615,294.61832,9.425696,0.292759764,3.415769934
u10,1.0691615,-0.4515597,4.2328143,0.445048647,2.246945376
v10,1.0691615,0.0394818,3.9598749,0.517131504,1.933744112
ewss,0.2138323,28.650406,623.70917,0.675122709,1.481212211
lgws,0.2138323,4.438188,284.07996,0.67310707,1.485647743
mgws,0.2138323,8.477131,240.03366,0.73995505,1.351433442
nsss,0.2138323,-5.92108,591.45,0.719925923,1.389031799
slhf,0.2138323,-370163.84,341864.62,0.950045446,1.052581225
sshf,0.2138323,-66212.24,157527.78,1.268062921,0.788604401
ssr,0.2138323,663539.1,875441.25,1.431913793,0.698366064
str,0.2138323,-194569.83,100077.42,0.801384481,1.247840486
tp,1.0691615,0.00022799,0.000698172,1.116800897,0.895414754
